name,speaker_occupation,views
Ken Robinson,Author/educator,47227110
Amy Cuddy,Social psychologist,43155405
Simon Sinek,Leadership expert,34309432
Brené Brown,Vulnerability researcher,31168150
Mary Roach,Writer,22270883
Julian Treasure,Sound consultant,21594632
Jill Bolte Taylor,Neuroanatomist,21190883
Tony Robbins,Life coach; expert in leadership psychology,20685401
James Veitch,Comedian and writer,20475972
Cameron Russell,Model,19787465
Dan Pink,Career analyst,18830983
Susan Cain,Quiet revolutionary,17629275
Pamela Meyer,Lie detector,16861578
Robert Waldinger,"Psychiatrist, psychoanalyst and Zen priest",16601927
Shawn Achor,Psychologist,16209727
Pranav Mistry,"Director of research, Samsung Research America",16097077
David Blaine,"Illusionist, endurance artist",15601385
Apollo Robbins,Gentleman thief,15283242
Tim Urban,Blogger,14745406
Dan Gilbert,Psychologist; happiness expert,14689301
Kelly McGonigal,Health psychologist,14566463
David Gallo,Oceanographer,13926113
Keith Barry,Magician,13327101
Chimamanda Ngozi Adichie,Novelist,13298341
Elizabeth Gilbert,Writer,13155478
Angela Lee Duckworth,Psychologist,12039978
Hans Rosling,Global health expert; data visionary,12005869
Monica Lewinsky,Social activist,11443190
Richard St. John,"Marketer, success analyst",10841210
Sarah Kay,Poet,10529854
Esther Perel,Relationship therapist,10524043
Raffaello D'Andrea,Autonomous systems pioneer,10281817
Jon Ronson,Writer and filmmaker,10167161
Barry Schwartz,Psychologist,10000702
Pattie Maes + Pranav Mistry,Researcher,9753630
Hyeonseo Lee,Activist,9551344
Reggie Watts,"Vocalist, beatboxer, comedian",9315931
Benjamin Zander,Conductor,9315483
Helen Fisher,"Anthropologist, expert on love",9260764
Daniel Levitin,Neuroscientist,9163813
Amanda Palmer,"Musician, blogger",9006600
Meg Jay,Clinical psychologist,8958850
Maysoon Zayid,Comedian and writer ,8879917
Matt Cutts,Technologist,8838874
Steve Jobs,Visionary,8744428
Tom Thum,Beatboxer,8688241
Stephen Hawking,Theoretical physicist,8655723
Celeste Headlee,Writer and radio host,8444981
Arthur Benjamin,Mathemagician,8360707
Esther Perel,Relationship therapist,8218896
Judson Brewer,Mindful addiction doctor,8107178
Maz Jobrani,Comedian,8105311
Andy Puddicombe,Mindfulness expert,8033595
Brené Brown,Vulnerability researcher,7988894
Yves Rossy,Jetman,7900891
Johann Hari,Journalist,7841509
Jamie Oliver,"Chef, activist",7638978
Hugh Herr,Bionics designer,7520736
David Christian,Historian,7481004
Rita Pierson,Educator,7469445
Sheryl Sandberg,"COO, Facebook",7431179
BLACK,Yo-yo champion,7373875
Matthieu Ricard,"Monk, author, photographer",7271730
Ken Robinson,Author/educator,7266316
Andrew Solomon,Writer,7265611
Malcolm Gladwell,Writer,7023562
